Tiempo (ms),Voltaje (mV)
360.6,-50.13095706902196
360.7,-60.0
360.8,-59.89999900000002
360.9,-59.79899799000005
361.00000000000006,-59.69698696990008
361.1,-59.59395583959912
361.2,-59.48989439799514
361.3,-59.38479234197512
361.4,-59.2786392653949
361.50000000000006,-59.17142465804888
361.6,-59.06313790462939
361.7,-58.953768283675714
361.8,-58.8433049665125
361.9,-58.731737016177654
362.00000000000006,-58.61905338633946
362.1,-58.505242920202875
362.2,-58.39029434940494
362.3,-58.27419629289901
362.4,-58.15693725582803
362.50000000000006,-58.038505628386346
362.6,-57.91888968467024
362.7,-57.79807758151697
362.8,-57.67605735733216
362.9,-57.552816930905514
363.00000000000006,-57.4283441002146
363.1,-57.302626541216775
363.2,-57.17565180662897
363.3,-57.04740732469529
363.4,-56.91788039794227
363.5,-56.787058201921724
363.6,-56.65492778394097
363.7,-56.521476061780405
363.8,-56.38668982239824
363.9,-56.25055572062226
364.0,-56.11306027782851
364.1,-55.97418988060682
364.2,-55.83393077941292
364.3,-55.69226908720707
364.4,-55.54919077807917
364.5,-55.40468168586
364.6,-55.25872750271862
364.7,-55.11131377774584
364.8,-54.962425915523326
364.9,-54.812049174678585
365.0,-54.6601686664254
365.1,-54.50676935308969
365.2,-54.35183604662061
365.3,-54.19535340708684
365.4,-54.03730594115774
365.5,-53.87767800056935
365.6,-53.716453780575065
365.70000000000005,-53.553617318380844
365.8,-53.38915249156469
365.9,-53.22304301648036
366.0,-53.05527244664519
366.1,-52.88582417111167
366.20000000000005,-52.71468141282281
366.3,-52.54182722695107
366.4,-52.36724449922062
366.5,-52.19091594421285
366.6,-52.01282410365501
366.70000000000005,-51.83295134469158
366.8,-51.65127985813852
366.9,-51.46779165671994
367.0,-51.28246857328716
367.1,-51.09529225902006
367.20000000000005,-50.90624418161029
367.3,-50.715305623426424
367.4,-50.52245767966072
367.5,-50.32768125645735
367.6,-50.13095706902196
367.70000000000005,-60.0
367.8,-59.89999900000002
367.9,-59.79899799000005
368.0,-59.69698696990008
368.1,-59.59395583959912
368.20000000000005,-59.48989439799514
368.3,-59.38479234197512
368.4,-59.2786392653949
368.5,-59.17142465804888
